timestamp,FillingStation_1,FillingStation_2,FillingStation_3,FillingStation_4
00:00:00,5.83,30.12,16.86,30.12
00:30:00,14.15,16.88,43.56,6.41
01:00:00,9.95,20.65,20.65,16.61
01:30:00,13.57,14.93,14.93,12.51
02:00:00,17.4,7.13,17.4,3.62
02:30:00,15.46,10.11,15.46,0
03:00:00,7.94,14.52,26.19,7.01
03:30:00,31.74,9.15,31.74,9.15
04:00:00,22.22,15.45,22.22,50.84
04:30:00,15.08,14.35,15.08,37.71
05:00:00,6.44,13.14,12.86,27.67
05:30:00,4.15,14.38,13.3,18.44
06:00:00,21.42,41.31,21.42,26.23
06:30:00,39.72,39.72,34.87,49.6
07:00:00,34.21,34.2,34.21,34.2
07:30:00,34.94,43.49,39.36,29.59
08:00:00,87.78,53.26,87.78,87.78
08:30:00,77.8,77.8,48.54,77.8
09:00:00,56.3,56.48,56.3,51.91
09:30:00,46.34,53.74,57.8,57.8
10:00:00,56.1,56.1,59.62,61.81
10:30:00,87.32,56.44,87.32,51.35
11:00:00,74.64,96.12,61.57,61.57
11:30:00,42.86,81.06,81.06,52.15
12:00:00,54.42,45.27,68.5,68.5
12:30:00,71.42,81.2,62.25,81.2
13:00:00,101.52,51.13,43.85,69.46
13:30:00,43.65,52.04,44.6,62.13
14:00:00,51.51,63.36,63.36,68.88
14:30:00,46.84,77.79,57.18,64.27
15:00:00,97.41,96.74,97.41,77.29
15:30:00,83.76,83.76,60.69,83.76
16:00:00,74.99,51.75,74.99,51.5
16:30:00,67.35,67.35,53.13,74.25
17:00:00,91.87,50.24,72.17,80.7
17:30:00,55.95,44.39,62.89,44.39
18:00:00,63,63,62.68,63
18:30:00,75.11,71.03,75.11,75.11
19:00:00,59.24,44.36,54.1,54.1
19:30:00,57.91,59.54,47.08,43.29
20:00:00,35.68,39.93,35.68,50.7
20:30:00,40.29,35.74,59.58,61.24
21:00:00,35.55,37.75,38.16,37.75
21:30:00,15.29,38.71,40.83,26.92
22:00:00,29.15,32.66,22.72,13.15
22:30:00,41.63,25.53,41.63,19.47
23:00:00,29.14,29.14,20.74,6.67
23:30:00,14.25,48.26,19.43,19.43
