timestamp,kW_value
00:00:00,0.4839152831019951
00:30:00,0.49566684030255004
01:00:00,0.5110537194308213
01:30:00,0.4875530592016994
02:00:00,0.5436327929627206
02:30:00,0.5135806185654417
03:00:00,0.6034521347442429
03:30:00,0.5623003034714746
04:00:00,0.6132509642799271
04:30:00,0.6688199195278166
05:00:00,0.8327120070929115
05:30:00,0.7887932485952022
06:00:00,0.963517195979822
06:30:00,1.1217090859872556
07:00:00,1.1515835032986603
07:30:00,1.1203564770303294
08:00:00,1.0161397992252394
08:30:00,1.0336530655777947
09:00:00,0.9656864498801839
09:30:00,0.8610009094132036
10:00:00,0.845787252847454
10:30:00,0.8087333375304732
11:00:00,0.8214507921660505
11:30:00,0.7998362671116009
12:00:00,0.8468325137858608
12:30:00,0.8022464411911314
13:00:00,0.7769588603735963
13:30:00,0.8732228858133113
14:00:00,0.87446155277807
14:30:00,0.8722874519320616
15:00:00,0.932188368076932
15:30:00,0.929901124405901
16:00:00,0.9668014812883499
16:30:00,0.9974357593449934
17:00:00,1.0393289025405996
17:30:00,1.0207949773668024
18:00:00,0.9778759445627341
18:30:00,0.9640530046619195
19:00:00,0.9350755741781822
19:30:00,0.911311001233961
20:00:00,0.9095393900692179
20:30:00,0.9200952749894935
21:00:00,0.8776903999274659
21:30:00,0.7914675429014328
22:00:00,0.6770935104081788
22:30:00,0.5612701681918753
23:00:00,0.46972178770364986
23:30:00,0.4722471790859378
